Bezirk Steglitz-Zehlendorf: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017-2018-2019;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
lfd. Nr.;Liegenschaft;Adresse;PLZ;Art der Wärme-versorgung;Wärme-verbrauch witterungs-bereinigt [kWh];;;Strom-verbrauch [kWh];;;Bemerkungen;;;;;
112;"Seniorenfreizeitstätte ""Süd"" - Teltower Damm 226";Teltower Damm 226;14167;Gas;56.924;64.125;65.362;13.719;14.377;16.560;;;;;;
113;"SWH ""Kurt Arnold"" Mudrastraße 1-11";Mudrastraße 1-11;12249;Fernwärme;728.716;;;26.079;00;00;Liegenschaft ist zum 01.01.2018 verkauft;;;;;
114;SWH Tautenburger Straße 34;Tautenburgerstr. 34;12249;Fernwärme;173.505;158.090;89.240;7.849;7.760;3.536;Liegenschaft ist zum 01.07.2019 verkauft;;;;;
115;"SWH ""Haus Dreilinden"" - Dreilindenstraße 81-85";Dreilindenstr. 81-85;14109;Fernwärme;887.433;;;58.580;00;00;Liegenschaft ist zum 01.01.2018 verkauft;;;;;
116;Rathaus Steglitz;Schloßstr. 37;12163;Fernwärme;126.155;117.704;110.169;73.141;76.435;71.689;;;;;;
117;Rathaus Lichterfelde;Goethestr. 9-13;12207;Gas;351.593;434.755;406.450;53.706;39.819;87.800;;;;;;
118;Rathaus Zehlendorf;Kirchstr. 1-3, alle Bauteile;14163;Gas;2.767.048;2.670.701;2.606.034;898.129;879.742;875.807;"versorgt mit Strom: Nr. 119; 120; 134 sowie Musikschule Zehlendorf";;;;;
119;Grundstücksamt - Martin-Buber-Straße 2;Martin-Buber-Str. 2;14163;Gas;68.901;72.468;67.393;;;;Stromversorgung aus Nr. 118;;;;;
120;Standesamt Teltower Damm 10;Teltower Damm 10;14167;Gas;70.060;70.716;66.228;;;;Stromversorgung aus Nr. 118;;;;;
121;Jugendamt-Regionalendienst - Hohenzollernstr. 11;Hohenzollernstr. 11;14163;Gas;113.092;114.903;88.429;4.764;5.545;8.063;;;;;;
122;Gesundheitsamt Potsdamer Straße 8;Potsdamer Str. 8;14163;Gas;268.341;281.162;257.893;;;;Stromversorgung aus Nr. 184;;;;;
123;Erziehungs-u. Familienberatung Königin-Luise-Str. 88;Königin-Luise-Str. 88;14195;Gas;;;;7.244;12.436;10.564;Wärmeversorgung aus Nr. 88;;;;;
124;Vet.- u. Lebensmittelaufsicht Königin-Luise-Str. 92;Königin-Luise-Str. 92 (Föhrenweg);14195;Gas;;;;18.602;20.124;18.764;Wärmeversorgung aus Nr. 88;;;;;
125;Vet.- u. Lebensmittelaufsicht Königin-Luise-Str. 96;Königin-Luise-Str. 96;14195;Gas;;;;15.648;16.422;16.668;Wärmeversorgung aus Nr. 88;;;;;
126;Ratswaage-Frauenverein;Charlottenstr. 64;12247;Gas;13.892;11.655;17.186;1.209;494;998;;;;;;
127;Gutshaus Steglitz;Wrangelstr. 1;12165;Fernwärme;139.779;120.869;106.131;29.950;33.100;47.200;;;;;;
128;Stadtteilbibliothek Lankwitz;Bruchwitzstr. 37;12247;Gas;139.902;135.961;138.205;29.107;28.028;28.593;;;;;;
129;Gottfried-Benn Bibliothek;Beuckestr. 1-3 // Nentershauser Platz 1;14163;Gas;181.774;190.719;176.155;00;00;00;Stromversorgung aus Nr. 54;;;;;
130;Schwartzsche Villa;Grunewaldstr. 55;12165;Fernwärme;156.969;152.451;139.979;40.920;43.020;39.180;;;;;;
131;Musikschule und Kunstamt;Grabertstr. 4;12169;Gas;53.117;54.628;54.420;13.673;10.859;13.736;;;;;;
132;VHS - Haus der Volkshochschule;Onkel-Tom-Str. 14;14163;Gas;248.794;230.927;244.565;00;00;00;Stromversorgung aus Nr. 184;;;;;
133;VHS Lehrstätte Rondellstraße 5;Rondellstr. 5;14163;Gas;79.512;71.135;91.348;13.620;18.180;16.380;;;;;;
134;VHS Geschäftsstelle Markgrafenstraße 3;Markgrafenstr. 3;14163;Gas;78.603;76.328;83.320;00;00;00;Stromversorgung aus Nr. 118;;;;;
135;Heimatverein/Kunstamt;Clayallee 355;14163;Gas;30.168;68.201;40.288;6.403;5.975;6.523;;;;;;
136;Jugendverkehrsschule - Steglitz (Schulverkehrsgarten);Albrechtstraße 42;12167;Elektroheizung;15.902;11.893;10.072;17.438;12.649;10.984;;;;;;
137;Verwaltungsgebäude - Ordnungsamt / Jugendamt;Unter den Eichen 1;12203;Fernwärme;145.327;130.070;116.399;50.515;34.860;38.500;;;;;;
138;Sozialpsychiatrischer Dienst Bergstraße;Bergstr. 90;12169;Gas;157.535;168.113;141.109;22.410;17.691;18.453;;;;;;
139;Fürsorgestelle Sonnebergerweg;Sonnebergerweg 28-29;12209;Gas;120.049;157.947;119.508;9.727;7.528;9.418;;;;;;
140;Fürsorgestelle Mercatorweg;Mercatorweg 6;12207;Fernwärme;80.085;76.838;72.959;19.690;27.569;24.727;;;;;;
141;Jugendgesundheitsdienst Charlottenstr. 10;Charlottenstr. 10;14109;Gas;85.089;89.509;84.977;;;;Stromversorgung aus Nr. 43;;;;;
142;Sozialpsychiatrischer Dienst Königstr. 36;Königstr. 36;14163;Gas;134.564;137.927;108.995;9.616;10.149;12.543;;;;;;
143;PUK Albrechtstraße 47;Albrechtstraße 47;12167;Nachtspeicher-heizung;18.499;56.763;48.711;8.496;9.489;6.243;;;;;;
144;PUK Am Gemeindepark 1;Am Gemeindepark 1;12249;Gas;;;;28.733;28.343;28.372;Wärmeversorgung aus Nr. 97;;;;;
145;PUK Bergstraße 50;Bergstr. 50;12169;Nachtspeicher-heizung;30.633;27.768;15.468;11.076;11.756;5.358;;;;;;
146;PUK Goebenstraße 4;Goebenstr. 4;12167;Elektroheizung;254;259;3.029;294;288;3.448;;;;;;
147;PUK Hindenburgdamm 26-28;Hindenburgdamm 26-28;12203;Nachtspeicher-heizung;723;750;78;182;00;00;;;;;;
148;PUK Klingsorstraße 96 a;Klingsorstr. 96a;12203;Gas;14.898;15.289;20.092;801;789;977;;;;;;
149;PUK Krahmerstraße 14;Krahmerstr. 14;12207;Gas;34.653;39.731;33.203;4.822;4.592;4.891;;;;;;
150;PUK Ostpreußendamm 95 c;Ostpreußendamm 95 c;12207;Nachtspeicher-heizung;;;;4.202;3.384;3.437;ausser Betrieb / Frostfreihaltung;;;;;
151;PUK Preysingstrraße 44;Preysingstr. 44;12249;Elektroheizung;;;;;;;ausser Betrieb / Frostfreihaltung;;;;;
152;PUK Schildhornstraße 5 a;Schildhornstr. 5a;12163;Nachtspeicher-heizung;;;;;;;ausser Betrieb;;;;;
153;PUK Schütte-Lanz-Straße 59;Schütte-Lanz-Str. 59;12209;Gas;91.686;95.682;88.804;5.296;4.717;5.327;;;;;;
154;PUK Stubenrauchstraße 14 a;Stubenrauchstr. 14a;12203;Nachtspeicher-heizung;21.505;22.704;31.338;12.013;5.442;39.552;;;;;;
155;PUK Wunsiedeler Weg 28;Wunsiedeler Weg 28 / 30;12247;Nachtspeicher-heizung;;;;;;;ausser Betrieb;;;;;
156;Werkhof Dillgestraße / Charlottenstraße;Dillgestr. 1 - 5;12247;Gas;429.858;458.565;452.886;39.442;39.098;40.849;;;;;;
157;Friedhof Bergstaße 38;Bergstraße 38 & Bismarkstraße 50;12169;Gas;190.612;371.932;338.385;63.435;49.294;45.539;;;;;;
158;Friedhof Lange Straße 8;Lange Str. 8 / Kiesstraße 21;12209;Gas;66.469;53.363;57.347;5.958;7.899;5.861;;;;;;
159;Friedhof Moltkestraße 41 a - 42;Moltkestr. 42 - 41a;12203;Nachtspeicher-heizung;18.449;17.125;18.017;12.652;9.897;9.714;;;;;;
160;Parkfriedhof Thuner Platz 2 - 4;Thuner Platz 2-4;12205;Gas;386.247;394.429;398.943;38.982;42.841;57.987;;;;;;
161;PUK Am Erlenbusch;Am Erlenbusch (ggü. Nr. 13 );14169;Gas;28.287;26.563;37.960;1.844;1.413;7.406;;;;;;
162;PUK Am Schlachtensee 72  - Paul-Ernst-Park;Am Schlachtensee 72;14129;Gas;29.096;34.226;41.675;853;4.801;3.892;;;;;;
163;PUK Berlepschstraße 153 - Grünzug Düppel-Süd;Berlepschstr. 153;14165;Nachtspeicher-heizung;6.620;545;1.284;119;35;6.526;;;;;;
164;PUK Bitterstr. 12a - Thielpark;Bitterstr. 12a;14195;Gas;30.617;13.680;10.250;6.150;2.589;6.449;;;;;;
165;PUK Dahlemer Weg  - Heinrich-Laehr-Park;Heinrich-Laehr-Park;14167;Nachtspeicher-heizung;;;;287;276;257;ausser Betrieb / Frostfreihaltung;;;;;
