Bezirk Tempelhof-Schˆneberg: Energieverbrauchs¸bersicht bezirklicher Geb‰ude f¸r 2010-2019;;;;;;;;;;;;;;;;
ID;Liegenschaft;Adresse;PLZ;Bauwerk;"Energieart
(W‰rmeverbrauch ist witterungsbereinigt)";Einheit;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
38;Tempelherren Schule / Hugo-Gaudig-Schule;Boelckestraﬂe 58-60;12101;Schulgeb‰ude;Strom;kWh;140.409;147.475;148.419;143.926;161.560;176.971;182.368;169.512;166.716;170.113
39;Friedrich-Ebert-Sportanlage ;Bosestraﬂe 21;12103;Sporthalle (Anbau);W‰rme;kWh;62.504;23.265;33.576;31.776;32.320;28.972;29.103;31.688;33.119;32.446
39;Friedrich-Ebert-Sportanlage ;Bosestraﬂe 21;12103;Sporthalle (Anbau);Strom;kWh;10.833;7.444;14.403;15.468;10.575;11.253;14.429;13.361;13.005;13.468
40;Friedrich-Ebert-Sportanlage ;Bosestraﬂe 21;12103;Sporthalle;W‰rme;kWh;373.839;139.151;200.818;190.055;193.304;173.282;174.063;189.525;198.086;194.061
40;Friedrich-Ebert-Sportanlage ;Bosestraﬂe 21;12103;Sporthalle;Strom;kWh;64.791;44.520;86.146;92.512;63.246;67.304;86.298;79.913;77.781;80.554
41;Friedrich-Ebert-Sportanlage ;Bosestraﬂe 21;12103;Umkleidegeb‰ude;W‰rme;kWh;16.296;140.075;129.278;107.476;104.580;108.452;84.514;101.022;110.671;102.213
41;Friedrich-Ebert-Sportanlage ;Bosestraﬂe 21;12103;Umkleidegeb‰ude;Strom;kWh;17.650;12.128;23.467;25.201;17.229;18.334;23.508;21.769;21.188;21.944
309;Flachbunker / Zivilschutzbunker;Bosestraﬂe 5;12103;Bunker;Strom;kWh;1.994;69;68;9;6;6;7;18;554;17
42;Jugendfreizeitst‰tte - Boseclub;Bosestraﬂe 6;12103;Jugendfreizeiteinrichtung;W‰rme;kWh;53.551;32.407;0;0;0;0;0;0;0;0
42;Jugendfreizeitst‰tte - Boseclub;Bosestraﬂe 6;12103;Jugendfreizeiteinrichtung;Strom;kWh;5.735;1.496;0;0;0;0;0;0;0;0
310;Markt - Breslauer Platz;Breslauer Platz;12159;Markt;Strom;kWh;28.687;29.047;29.043;28.997;17.572;17.731;27.724;24.068;24.685;24.033
213;Ulrich-von-Hutten-Schule;Briesingstraﬂe 23-27;12307;Sporthalle;W‰rme;kWh;324.071;377.414;347.333;389.239;388.656;408.489;366.522;303.392;450.595;446.819
213;Ulrich-von-Hutten-Schule;Briesingstraﬂe 23-27;12307;Sporthalle;Strom;kWh;81.080;92.289;61.335;70.962;63.796;73.371;73.400;75.300;71.550;68.100
43;B¸rgeramt;Briesingstraﬂe 6;12307;Dienstgeb‰ude;Strom;kWh;0;0;0;15.050;55.000;54.360;55.525;56.395;53.880;51.500
311;Gr¸nanlage, Grundwasserbrunnen, Noack-Turm;Britzer Straﬂe 38-60;12109;Gr¸nfl‰che / Beleuchtung;Strom;kWh;2.419;2.334;2.825;3.303;2.792;2.392;4.679;4.065;5.433;2.271
284;Jugendfreizeitst‰tte - Sozialistische Jugend - Die Falken;B¸lowstraﬂe 39;10783;Jugendfreizeiteinrichtung;W‰rme;kWh;27;22;32;81;183;1.415;1.306;1.319;1.406;1.402
284;Jugendfreizeitst‰tte - Sozialistische Jugend - Die Falken;B¸lowstraﬂe 39;10783;Jugendfreizeiteinrichtung;Strom;kWh;715;611;595;593;596;1.287;925;914;1.210;779
70;Maria-Montessori-Schule;Burgemeisterstraﬂe 70;12103;Sporthalle;W‰rme;kWh;102.013;115.535;87.742;92.599;92.146;93.835;95.466;81.111;101.623;48.126
70;Maria-Montessori-Schule;Burgemeisterstraﬂe 70;12103;Sporthalle;Strom;kWh;10.463;10.349;23.640;14.530;13.620;13.649;17.722;15.429;15.065;17.853
44;Marktmeisterhaus;Crellestraﬂe 24;10827;Kiosk;W‰rme;kWh;6.026;9.241;7.338;9.548;9.325;9.452;7.787;7.882;8.005;8.492
44;Marktmeisterhaus;Crellestraﬂe 24;10827;Kiosk;Strom;kWh;20.179;23.413;22.550;22.208;12.866;21.386;18.894;17.225;15.268;15.652
285;Carl-Sonnenschein-Schule;Dardanellenweg 50;10719;Schulgeb‰ude (Filiale);W‰rme;kWh;0;0;0;0;10.652;17.403;0;0;0;0
285;Carl-Sonnenschein-Schule;Dardanellenweg 50;10719;Schulgeb‰ude (Filiale);Strom;kWh;0;0;0;0;38;995;0;0;0;0
312;Skaterfl‰che - Beleuchtung;Diedersdorfer Weg;12277;Gr¸nfl‰che / Beleuchtung;Strom;kWh;48;18.549;100;25;8;0;1.338;1.477;2.718;2.324
46;Schule am Dielingsgrund;Dielingsgrund 35;12305;Sporthalle;W‰rme;kWh;110.481;94.218;103.662;96.605;92.361;93.218;93.340;94.029;110.113;99.258
46;Schule am Dielingsgrund;Dielingsgrund 35;12305;Sporthalle;Strom;kWh;16.936;9.648;17.235;17.996;18.128;16.796;17.028;18.230;17.506;15.300
47;Schule am Dielingsgrund;Dielingsgrund 35;12305;Hortgeb‰ude;W‰rme;kWh;85.940;73.290;80.636;75.147;71.845;72.512;72.607;73.143;85.654;77.210
47;Schule am Dielingsgrund;Dielingsgrund 35;12305;Hortgeb‰ude;Strom;kWh;13.174;7.505;13.406;13.999;14.101;13.065;13.246;14.181;13.617;11.902
48;Schule am Dielingsgrund;Dielingsgrund 35;12305;Schulgeb‰ude;W‰rme;kWh;595.573;507.904;558.813;520.773;497.893;502.515;503.169;506.885;593.591;535.070
48;Schule am Dielingsgrund;Dielingsgrund 35;12305;Schulgeb‰ude;Strom;kWh;91.297;52.012;92.908;97.011;97.720;90.544;91.794;98.272;94.369;82.479
50;Diakonisches Werk Tempelhof-Schˆneberg e.V (Schulf¸rsorge);Domagkstraﬂe 3/5;12277;Dienstgeb‰ude;W‰rme;kWh;130.453;121.962;120.116;132.842;120.250;115.592;118.709;116.765;121.373;120.203
50;Diakonisches Werk Tempelhof-Schˆneberg e.V (Schulf¸rsorge);Domagkstraﬂe 3/5;12277;Dienstgeb‰ude;Strom;kWh;5.750;11.568;11.704;13.871;14.184;14.309;11.059;10.433;8.654;10.123
